objectid;straatnaam;postcode6;postcode4;hsnr_laag;hsnr_hoog;hsnr_aant;buurtcode;buurtnaam;wijkcode;wijknaam;stadsdeelcode;stadsdeelnaam;x_rd;y_rd;longitude;latitude;geo_shape;geo_point_2d
576;Bordeauxlaan;5627GV;5627;2.0;52.0;26.0;522;Achtse Barrier-Gunterslaer;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159219.52062307;387947.44485;5.44794307;51.48055845;"{""coordinates"": [5.447941554005463, 51.480558093244355], ""type"": ""Point""}";51.480558093244355, 5.447941554005463
577;Bordeauxlaan;5627GW;5627;54.0;114.0;31.0;522;Achtse Barrier-Gunterslaer;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;159175.3027;387933.68530825;5.44730637;51.4804351;"{""coordinates"": [5.447304851676096, 51.4804347440077], ""type"": ""Point""}";51.4804347440077, 5.447304851676096
582;Borodinlaan;5653HL;5653;1.0;13.0;7.0;721;Genderdal;72;Wijk Oud-Gestel;7;Stadsdeel Gestel;159288.74701683;381420.18085;5.44885993;51.42188653;"{""coordinates"": [5.448858744580933, 51.421886226518914], ""type"": ""Point""}";51.421886226518914, 5.448858744580933
583;Borretpad;5652GD;5652;2.0;24.0;12.0;622;Het Ven;62;Wijk Halve Maan;6;Stadsdeel Strijp;159076.16543921;383407.93105;5.4458267;51.43975536;"{""coordinates"": [5.445825412686405, 51.43975504310988], ""type"": ""Point""}";51.43975504310988, 5.445825412686405
586;Bosboomstraat;5613KE;5613;2.0;36.0;17.0;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre;162842.49178823;383522.5685;5.49999869;51.44074592;"{""coordinates"": [5.499997589329138, 51.44074558984123], ""type"": ""Point""}";51.44074558984123, 5.499997589329138
589;Boschdijk;5612AM;5612;24.0;42.0;107.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160871.02982373;384036.80085;5.47165197;51.4453922;"{""coordinates"": [5.471650726634888, 51.445391865996974], ""type"": ""Point""}";51.445391865996974, 5.471650726634888
594;Boschdijk;5612HC;5612;201.0;253.0;75.0;411;Limbeek-Noord;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160516.9154;384486.97899676;5.46656532;51.44944228;"{""coordinates"": [5.466564039383742, 51.449441946520025], ""type"": ""Point""}";51.449441946520025, 5.466564039383742
597;Boschdijk;5612HG;5612;144.0;172.0;40.0;412;Hemelrijken;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160659.5395;384291.37202092;5.46861391;51.44768262;"{""coordinates"": [5.468612647253872, 51.447682285577564], ""type"": ""Point""}";51.447682285577564, 5.468612647253872
600;Boschdijk;5621JA;5621;303.0;357.0;65.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160283.18945;384822.5077095;5.46320807;51.45246048;"{""coordinates"": [5.463206756652882, 51.452460141878454], ""type"": ""Point""}";51.452460141878454, 5.463206756652882
601;Boschdijk;5621JB;5621;359.0;391.0;48.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160246.4893;384932.72962019;5.46268173;51.45345157;"{""coordinates"": [5.4626804031949865, 51.453451231791284], ""type"": ""Point""}";51.453451231791284, 5.4626804031949865
605;Boschdijk;5621JG;5621;525.0;599.0;249.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159656.64123338;385698.2833;5.45420579;51.46033806;"{""coordinates"": [5.454204393886685, 51.46033772307533], ""type"": ""Point""}";51.46033772307533, 5.454204393886685
606;Boschdijk;5622PA;5622;354.0;360.0;2.0;422;Kronehoef;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160173.13585;385134.84624008;5.46162937;51.45526901;"{""coordinates"": [5.461628035018169, 51.45526866714267], ""type"": ""Point""}";51.45526866714267, 5.461628035018169
614;Boschdijk;5624CL;5624;720.0;780.0;16.0;511;Driehoeksbos;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;159028.90705;386964.58819333;5.44518781;51.47172529;"{""coordinates"": [5.445186325101605, 51.47172494666635], ""type"": ""Point""}";51.47172494666635, 5.445186325101605
619;Boschdijk;5626AE;5626;1047.0;1069.0;12.0;521;Kerkdorp Acht;52;Wijk Achtse Molen;5;Stadsdeel Woensel-Noord;158483.81995;387716.7121961;5.43735002;51.47848952;"{""coordinates"": [5.437348489359837, 51.478489172994045], ""type"": ""Point""}";51.478489172994045, 5.437348489359837
629;Bosfazant;5658CB;5658;79.0;190.0;73.0;639;Bosrijk;63;Wijk Meerhoven;6;Stadsdeel Strijp;156910.18045;383965.12044561;5.41467728;51.44477529;"{""coordinates"": [5.414675907799638, 51.444774990954286], ""type"": ""Point""}";51.444774990954286, 5.414675907799638
